	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Vil1|Vil1	0	0	67	52	64	40
Cnot9|Cnot9	2208	1950	2129	2229	3678	2714
Bcs1l|Bcs1l	2779	957	1018	1179	1583	881
Rnf25|Rnf25	3007	2580	2053	2948	2740	2520
Slc23a3|Slc23a3	0	0	0	11	2	0
Cnppd1|Cnppd1	2790	1502	2457	4064	2096	3360
Fam134a|Fam134a	8915	5708	8880	6399	5201	6458
Zfand2b|Zfand2b	8931	1670	3481	1665	1482	1283
Abcb6|Abcb6	7070	5089	4899	3036	2571	3380
Dnajb2|Dnajb2	2155	1201	1909	3868	2554	3983
Atg9a|Atg9a	15574	6791	17415	9627	3188	12703
Ankzf1|Ankzf1	4589	2195	2356	4787	3181	3785
Glb1l|Glb1l	966	822	593	1309	822	969
Tuba4a|Tuba4a	5383	2393	4436	1606	1675	1502
Stk16|Stk16	3473	1985	1633	2409	2064	1599
Ptprn|Ptprn	33054	17339	37423	18701	10310	19365
Des|Des	0	0	0	26	7	25
Gm15179|Gm15179	0	46	0	0	0	14
Dnpep|Dnpep	4271	2642	3480	2336	1838	2020
Speg|Speg	2051	24	1527	3518	827	2939
Gm32506|Gm32506	0	0	33	12	10	12
Asic4|Asic4	442	39	1266	1554	678	3118
Gmppa|Gmppa	2014	454	1098	2089	1122	1845
Obsl1|Obsl1	1939	292	858	1341	130	1855
Inha|Inha	947	849	1271	2769	1294	2876
Stk11ip|Stk11ip	2136	164	734	1610	594	1876
Resp18|Resp18	61690	30854	61532	29166	41106	32772
Chpf|Chpf	16996	7812	22879	8710	2097	9966
Tmem198|Tmem198	5918	2301	7358	2705	667	3291
Slc4a3|Slc4a3	14583	9122	16603	12673	4670	12256
Gm2102|Gm2102	0	0	0	0	10	0
Pax3|Pax3	0	0	0	75	28	31
Gm33083|Gm33083	76	0	0	0	3	0
Gm33030|Gm33030	0	0	0	0	0	0
Epha4|Epha4	15084	14998	18187	7465	9937	9160
Mir6352|Mir6352	0	0	0	0	1	0
Mogat1|Mogat1	27	40	0	100	77	97
Gm39665|Gm39665	0	0	0	0	0	0
Sgpp2|Sgpp2	9453	9064	6684	4301	4482	4226
Farsb|Farsb	1702	1076	1470	1640	2412	1705
Gm38631|Gm38631	154	84	112	57	46	98
Gm33693|Gm33693	0	0	0	0	0	5
Utp14b|Utp14b	63	0	338	685	493	539
Acsl3|Acsl3	18227	10119	15121	16990	20984	18399
Ap1s3|Ap1s3	8	8	27	16	13	26
Wdfy1|Wdfy1	2189	1812	2616	2982	4296	2698
Mrpl44|Mrpl44	468	0	835	401	553	165
Gm39667|Gm39667	149	0	525	55	201	76
Cul3|Cul3	1660	513	1134	1035	1201	997
Scg2|Scg2	135642	105702	147136	47619	55261	53656
Dock10|Dock10	1960	218	854	6705	7170	5889
Gm39666|Gm39666	264	691	154	234	664	278
Serpine2|Serpine2	62070	38069	61718	32739	54588	28505
Nyap2|Nyap2	2566	3526	3277	1913	1133	1306
Irs1|Irs1	1132	745	2548	1313	2764	2122
Rhbdd1|Rhbdd1	2074	974	1985	1210	1427	1225
LOC108167630|LOC108167630	0	0	373	132	135	64
Gm17764|Gm17764	0	0	3	0	0	13
Slc19a3|Slc19a3	0	0	306	72	161	44
Col4a4|Col4a4	160	711	24	513	500	480
Col4a3|Col4a3	0	0	0	350	517	310
Mff|Mff	5071	2078	5020	3180	4099	2978
LOC105243964|LOC105243964	528	356	200	216	194	137
Gm39668|Gm39668	2379	1509	1827	809	1189	1188
Agfg1|Agfg1	2694	1730	2393	1847	2836	2379
Sphkap|Sphkap	2761	2233	2575	1167	1336	2102
Pid1|Pid1	3482	2009	2637	2354	2022	1551
Mir6353|Mir6353	14	15	2	11	10	11
Gm39669|Gm39669	0	0	0	0	0	0
Slc16a14|Slc16a14	814	1103	490	925	832	696
LOC101055758|LOC101055758	0	0	0	0	0	0
LOC105243968|LOC105243968	0	0	0	0	0	2
Gm2666|Gm2666	0	0	75	0	10	0
Gm2427|Gm2427	0	0	0	7	12	4
Sp110|Sp110	0	0	123	147	276	176
Sp140|Sp140	15	0	126	68	108	53
LOC102634459|LOC102634459	0	0	0	0	0	0
Trip12|Trip12	5479	6557	4859	6278	6718	5923
Fbxo36|Fbxo36	33	24	82	157	255	88
Mir5126|Mir5126	0	0	0	0	0	1
Dner|Dner	36967	25650	36260	14717	14058	22694
Cab39|Cab39	3974	1499	1162	1642	2465	1553
4933407L21Rik|4933407L21Rik	0	187	96	110	57	94
Gpr55|Gpr55	0	0	12	28	19	70
Gm41905|Gm41905	0	0	0	0	0	0
2810459M11Rik|2810459M11Rik	334	851	171	199	198	206
Htr2b|Htr2b	612	1721	134	458	635	386
Psmd1|Psmd1	12615	6713	5955	7851	7756	6211
Gm28626|Gm28626	0	0	11	14	6	0
B3gnt7|B3gnt7	804	0	1003	302	225	310
Gm32700|Gm32700	39	0	0	20	3	6
Ncl|Ncl	4188	1609	2779	3218	4087	2638
Gm24148|Gm24148	0	0	24	14	7	3
Snord82|Snord82	0	0	0	0	3	1
Snora75|Snora75	32	0	11	13	18	12
C130036L24Rik|C130036L24Rik	262	42	228	223	247	158
Ptma|Ptma	2357	1294	1370	2083	2908	1628
Nppc|Nppc	125	8	918	130	176	375
Armc9|Armc9	9457	2365	2842	4506	3397	3485
LOC108167633|LOC108167633	228	116	98	168	152	150
Cops7b|Cops7b	1674	2152	894	2519	2283	1868
Pde6d|Pde6d	2241	533	1395	1113	1261	949
Itm2c|Itm2c	144654	93121	156912	71921	55197	79332
Dis3l2|Dis3l2	283	498	1214	1756	1524	1186
Gm41909|Gm41909	93	0	49	50	133	52
Ecel1|Ecel1	5613	1242	5137	7132	1076	4857
Gm33292|Gm33292	15	0	0	0	0	0
Eif4e2|Eif4e2	2691	1989	1887	2428	2249	2615
Neu2|Neu2	0	0	0	13	8	42
Gm33517|Gm33517	0	0	0	0	2	3
Gm41911|Gm41911	0	0	0	15	34	7
Gigyf2|Gigyf2	3647	1431	2676	3771	4683	3550
Efhd1|Efhd1	336	0	334	530	853	513
Kcnj13|Kcnj13	0	273	208	400	927	567
Inpp5d|Inpp5d	244	1279	0	819	855	876
Gm33470|Gm33470	0	0	0	2	5	0
