gene_id,CRV01DA,CRV02DA,CRV03DA,CRV04DA,FT01DA,FT01nDA,FT02DA,FT02nDA,FT03DA,FT03nDA,FT04DA,FT04nDA,MN01DA,MN02DA,MN03DA
Mrps5|Mrps5,2446,2659,2440,3076,3344,2412,2308,1169,3337,2626,2426,2003,1130,1006,841
Mal|Mal,2480,2053,4051,2034,4246,29592,3683,71198,2449,19849,1745,29378,4818,2442,5543
Nphp1|Nphp1,631,412,318,388,68,451,80,377,32,393,270,539,61,180,115
1500011K16Rik|1500011K16Rik,832,1380,1231,1093,1537,502,1056,828,582,364,904,360,1462,1049,1566
Acoxl|Acoxl,0,83,46,157,121,39,0,15,0,10,200,136,0,0,0
Gm19501|Gm19501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcl2l11|Bcl2l11,1118,1043,871,852,452,515,959,578,1437,493,218,628,554,321,355
Gm39926|Gm39926,55,0,51,42,0,0,0,9,0,0,24,15,0,0,0
Zc3h8|Zc3h8,891,863,863,1386,953,818,992,1120,2046,555,681,833,589,1130,326
Zc3h6|Zc3h6,2145,992,1015,1635,1094,712,1699,788,408,637,750,720,336,995,834
LOC108168793|LOC108168793,0,0,7,0,0,20,0,6,0,13,0,26,76,13,4
Polr1b|Polr1b,538,907,501,436,192,742,185,1474,0,748,743,630,1374,857,909
Gm14025|Gm14025,466,640,751,679,1094,592,439,460,682,533,1000,409,563,575,630
Ttl|Ttl,954,1766,1877,1332,1939,1341,495,655,559,1042,1861,746,1925,363,1063
Anapc1|Anapc1,4543,5373,5488,5562,5336,3875,1917,4816,2106,4575,5698,4449,7940,1913,4274
Gm39931|Gm39931,0,0,0,14,0,15,82,4,0,0,0,10,2,0,0
Mertk|Mertk,486,4,732,182,200,2037,2144,2323,101,2166,67,2002,967,433,37
Tmem87b|Tmem87b,8145,13601,10593,6139,15152,6199,8224,6493,3740,4875,9108,7507,10975,6514,10203
Fbln7|Fbln7,0,174,629,163,0,236,0,276,0,45,307,265,157,187,0
Chchd5|Chchd5,177,295,301,338,189,296,0,411,0,200,351,230,474,54,578
Ckap2l|Ckap2l,0,0,17,0,30,13,0,35,0,39,0,32,0,0,0
Gm14023|Gm14023,0,0,0,0,19,76,0,50,0,90,0,88,0,0,0
Il1a|Il1a,0,0,109,14,0,40,0,63,0,75,4,124,0,0,0
Gm14041|Gm14041,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Slc20a1|Slc20a1,18094,23986,24551,12833,15660,18421,9718,26916,5354,14860,16427,18048,23543,6034,20272
Pdyn|Pdyn,346,2170,971,155,1916,1451,1219,647,0,493,331,721,2359,0,411
Sirpa|Sirpa,8243,15621,17369,6484,15314,14166,6666,11033,3199,11261,10800,16827,7478,6039,6097
Snrpb|Snrpb,3359,2188,2356,3074,3263,2345,1403,2704,1255,2371,2681,2157,2764,1801,2006
Tmc2|Tmc2,0,24,16,16,0,15,13,21,0,16,15,7,18,32,0
4932416H05Rik|4932416H05Rik,353,505,87,301,335,207,48,144,696,156,182,183,215,218,197
Stk35|Stk35,252,188,568,411,128,367,462,216,33,341,296,377,74,148,66
Ebf4|Ebf4,379,201,753,538,435,477,219,232,1029,824,360,388,45,41,0
Gm39936|Gm39936,0,3,94,21,0,24,0,11,0,33,34,27,0,0,0
1700020A23Rik|1700020A23Rik,0,55,0,0,53,101,0,26,0,84,0,37,0,0,0
Tmem239|Tmem239,0,0,0,0,0,76,0,0,0,35,0,23,0,0,0
