	x	y	pval	padj
Hrh3|Hrh32	Maintenance	Craving	0.00205705124302521	0.0392973044350044
Mtg2|Mtg22	Maintenance	Craving	7.07978704110468e-05	0.00264495756583546
Arfgap1|Arfgap12	Maintenance	Craving	7.47115780880531e-07	4.48197630472465e-05
Ppdpf|Ppdpf2	Maintenance	Craving	0.00034953883298332	0.00983807268714104
Zgpat|Zgpat2	Maintenance	Craving	0.000656513951575962	0.0161259470231592
Lime1|Lime12	Maintenance	Craving	0.0020351982459458	0.0390695441737103
Zfhx4|Zfhx42	Maintenance	Craving	0.000204375111703219	0.0063754816095819
Stmn2|Stmn22	Maintenance	Craving	0.00062465351855432	0.0156305346347342
Snx16|Snx162	Maintenance	Craving	0.000680780137565383	0.0165913565557439
Gm41998|Gm419982	Maintenance	Craving	0.00151377638903767	0.0312730161960464
Bhlhe22|Bhlhe222	Maintenance	Craving	0.000116072714102074	0.00406080932681966
Gm33834|Gm338342	Maintenance	Craving	0.00187205069860082	0.0369222054011712
Mccc1os|Mccc1os2	Maintenance	Craving	5.25838636076005e-07	3.26980789084205e-05
Elf2|Elf22	Maintenance	Craving	0.00032609281519079	0.00934190560450616
Sertm1|Sertm12	Maintenance	Craving	4.09442518879843e-05	0.00163053949486681
Med12l|Med12l2	Maintenance	Craving	0.000131077487932486	0.00447696595188385
F630111L10Rik|F630111L10Rik2	Maintenance	Craving	1.16154827871612e-05	0.000534169511860679
Gm33923|Gm339232	Maintenance	Craving	1.61121732851955e-08	1.32268222534651e-06
Map9|Map92	Maintenance	Craving	0.000756742954606842	0.0180382856430534
Tlr2|Tlr22	Maintenance	Craving	1.28316353193583e-05	0.000582936209399101
Bcan|Bcan2	Maintenance	Craving	4.42255178943364e-05	0.00174267161774378
Rusc1|Rusc12	Maintenance	Craving	5.01635061156609e-13	1.56485057327804e-10
Ash1l|Ash1l2	Maintenance	Craving	0.000126860249751609	0.00436478546801628
Hcn3|Hcn32	Maintenance	Craving	4.75157807137058e-06	0.000239073351510331
Pygo2|Pygo22	Maintenance	Craving	0.00014487851845607	0.0048859301440401
Adar|Adar2	Maintenance	Craving	0.00102172091925328	0.0229850365933458
1700094D03Rik|1700094D03Rik2	Maintenance	Craving	0.000939778999133773	0.0215297962384172
Slc27a3|Slc27a32	Maintenance	Craving	0.000392531986755141	0.0108044429354353
Celf3|Celf32	Maintenance	Craving	2.72716048228376e-09	2.98504460508217e-07
Rfx5|Rfx52	Maintenance	Craving	7.98018724689287e-06	0.000378139657468592
Setdb1|Setdb12	Maintenance	Craving	0.00198472807886868	0.0384158794748553
Mrps21|Mrps212	Maintenance	Craving	0.000191932584582194	0.00608423459865537
Aph1a|Aph1a2	Maintenance	Craving	5.32765252094859e-06	0.000263803365699986
6330549D23Rik|6330549D23Rik2	Maintenance	Craving	0.000566200594614318	0.0144973687132643
Casq2|Casq22	Maintenance	Craving	1.90316453142904e-18	2.96846087789645e-15
Olfml3|Olfml32	Maintenance	Craving	0.000433430621056632	0.0117063794145988
Hipk1|Hipk12	Maintenance	Craving	0.00138796102179701	0.0292550297803768
Kcna2|Kcna22	Maintenance	Craving	0.000227472872022171	0.00697968810760487
Gstm1|Gstm12	Maintenance	Craving	0.00196614204288437	0.0382142062478368
Ampd2|Ampd22	Maintenance	Craving	3.09709956519235e-05	0.00128533065547018
Atxn7l2|Atxn7l22	Maintenance	Craving	0.00262661553754694	0.0476841542349817
Prpf38b|Prpf38b2	Maintenance	Craving	0.000843119039342124	0.019775261979156
LOC108168896|LOC1081688962	Maintenance	Craving	0.000234300607193644	0.00715667513737225
LOC108168899|LOC1081688992	Maintenance	Craving	7.2409367313227e-05	0.00269440582107688
6330410L21Rik|6330410L21Rik2	Maintenance	Craving	8.4304403029024e-15	4.90803947938554e-12
Pla2g12a|Pla2g12a2	Maintenance	Craving	0.000709582054404043	0.0171370933061684
Bdh2|Bdh22	Maintenance	Craving	2.40789823266738e-05	0.00102662030115798
Slc39a8|Slc39a82	Maintenance	Craving	0.000289263343812846	0.00853965616111206
Nfkb1|Nfkb12	Maintenance	Craving	2.84897573898048e-05	0.00119293688828854
Gm42256|Gm422562	Maintenance	Craving	0.000652117173928838	0.0161180690392219
Pou3f2|Pou3f22	Maintenance	Craving	0.000991611356633942	0.0224753634333335
Gm11884|Gm118842	Maintenance	Craving	1.34058356673296e-09	1.69538531206357e-07
Srsf12|Srsf122	Maintenance	Craving	0.00101717572648113	0.0229342891429671
Zfp292|Zfp2922	Maintenance	Craving	3.74036898795407e-05	0.00150880358507621
Fam219a|Fam219a2	Maintenance	Craving	4.01189240044328e-10	6.10492602106479e-08
Cntfr|Cntfr2	Maintenance	Craving	9.33563236175738e-05	0.00334741438534507
Fancg|Fancg2	Maintenance	Craving	0.00131142813391926	0.0279567202534929
Pigo|Pigo2	Maintenance	Craving	0.00255317672329606	0.046713400518018
Tln1|Tln12	Maintenance	Craving	3.83583464143246e-06	0.000196699498585456
Ppp3r2|Ppp3r22	Maintenance	Craving	0.000118819249284924	0.00412604803129114
Dnajc25|Dnajc252	Maintenance	Craving	1.99756903366517e-06	0.000110290559301212
Jun|Jun2	Maintenance	Craving	3.65861312565348e-06	0.000188645349512001
Sgip1|Sgip12	Maintenance	Craving	0.00169872100161474	0.0342987712915028
Ssbp3|Ssbp32	Maintenance	Craving	0.000622466656992903	0.0155966645501154
Fam159a|Fam159a2	Maintenance	Craving	0.00160656060480747	0.0327097343026005
Dmrta2os|Dmrta2os2	Maintenance	Craving	2.63460904074306e-17	2.59536723239936e-14
Dmrta2|Dmrta22	Maintenance	Craving	0.000461838241788681	0.0122961968300978
Pdzk1ip1|Pdzk1ip12	Maintenance	Craving	2.85438118124175e-06	0.000151346891131167
Lrrc41|Lrrc412	Maintenance	Craving	1.55092898246842e-07	1.03674063445934e-05
Hectd3|Hectd32	Maintenance	Craving	5.56277224667277e-07	3.44762940864153e-05
LOC102637578|LOC1026375782	Maintenance	Craving	1.30451918033967e-08	1.14096661207559e-06
Slc6a9|Slc6a92	Maintenance	Craving	0.00208519590576769	0.0397845176027053
Tie1|Tie12	Maintenance	Craving	1.82180984088587e-10	3.15729766591304e-08
